country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","06-04-2026 18:00:00",21.613267,73.010555,PM2.5,32,84,64
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","06-04-2026 18:00:00",21.613267,73.010555,PM10,71,110,92
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","06-04-2026 18:00:00",21.755417,72.139056,CO,53,56,55
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","06-04-2026 18:00:00",23.163798,72.677768,NO2,14,56,26
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","06-04-2026 18:00:00",23.163798,72.677768,OZONE,1,66,41
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","06-04-2026 18:00:00",23.243639,72.68994,SO2,3,12,5
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","06-04-2026 18:00:00",23.593150,72.372792,NO2,35,52,43
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","06-04-2026 18:00:00",23.593150,72.372792,CO,52,60,53
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","06-04-2026 18:00:00",22.410802,73.097923,NO2,6,239,42
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","06-04-2026 18:00:00",28.611281,77.237738,NO2,23,128,69
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","06-04-2026 18:00:00",28.636429,77.201067,PM10,62,147,100
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","06-04-2026 18:00:00",28.636429,77.201067,SO2,4,42,26
India,Delhi,Delhi,"Mundka, Delhi - DPCC","06-04-2026 18:00:00",28.684678,77.076574,NO2,32,73,50
India,Delhi,Delhi,"Mundka, Delhi - DPCC","06-04-2026 18:00:00",28.684678,77.076574,SO2,17,106,37
